date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:26	641435/641435	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-9c99b%22	http://www.uigrid.com/html/fitmate/assets/img/gallary/gallary-two.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/gallary/gallary-two.jpg	(from http://www.uigrid.com/html/fitmate/)
15:28:32	69837/69837	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-110cd%22	http://www.uigrid.com/html/fitmate/assets/img/gallary/gallary-five-thumb.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/gallary/gallary-five-thumb.jpg	(from http://www.uigrid.com/html/fitmate/)
15:28:48	98860/98860	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-1822c%22	http://www.uigrid.com/html/fitmate/assets/img/gallary/gallary-six-thumb.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/gallary/gallary-six-thumb.jpg	(from http://www.uigrid.com/html/fitmate/)
15:28:51	14141/14141	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-373d%22	http://www.uigrid.com/html/fitmate/assets/img/testimonial/user-one.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/testimonial/user-one.jpg	(from http://www.uigrid.com/html/fitmate/)
15:28:52	619896/619896	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-97578%22	http://www.uigrid.com/html/fitmate/assets/img/gallary/gallary-four.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/gallary/gallary-four.jpg	(from http://www.uigrid.com/html/fitmate/)
15:28:53	8313/8313	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-2079%22	http://www.uigrid.com/html/fitmate/assets/img/testimonial/user-three.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/testimonial/user-three.jpg	(from http://www.uigrid.com/html/fitmate/)
15:28:54	17340/17340	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-43bc%22	http://www.uigrid.com/html/fitmate/assets/img/testimonial/user-two.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/testimonial/user-two.jpg	(from http://www.uigrid.com/html/fitmate/)
15:28:56	15543/15543	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-3cb7%22	http://www.uigrid.com/html/fitmate/assets/img/testimonial/user-four.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/testimonial/user-four.jpg	(from http://www.uigrid.com/html/fitmate/)
15:29:02	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%22590d4138-90b5%22	http://www.uigrid.com/html/fitmate/assets/js/bootstrap.min.js	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/js/bootstrap.min.js	(from http://www.uigrid.com/html/fitmate/)
15:29:10	41953/41953	---M--	200	added ('OK')	application/javascript	etag:%2259183156-a3e1%22	http://www.uigrid.com/html/fitmate/assets/js/plugins/slick.min.js	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/js/plugins/slick.min.js	(from http://www.uigrid.com/html/fitmate/)
15:29:10	97361/97361	---M--	200	added ('OK')	application/javascript	etag:%22590d4138-17c51%22	http://www.uigrid.com/html/fitmate/assets/js/jquery.min.js	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/js/jquery.min.js	(from http://www.uigrid.com/html/fitmate/)
